from,to,weight
Marcelo,mongodb grau 3 (possui conhecimento básico),1
Marcelo,express grau 2 (já ouviu falar),1
Marcelo,react grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Marcelo,rn grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Marcelo,nest grau 3 (possui conhecimento básico),1
Marcelo,prisma grau 1 (não possui conhecimento),1
Marcelo,dart grau 3 (possui conhecimento básico),1
Marcelo,cypress grau 3 (possui conhecimento básico),1
Marcelo,jest grau 1 (não possui conhecimento),1
Marcelo,ec2 grau 2 (já ouviu falar),1
Daniel,mongodb grau 3 (possui conhecimento básico),1
Daniel,express grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Daniel,react grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Daniel,rn grau 2 (já ouviu falar),1
Daniel,nest grau 2 (já ouviu falar),1
Daniel,prisma grau 2 (já ouviu falar),1
Daniel,dart grau 2 (já ouviu falar),1
Daniel,cypress grau 2 (já ouviu falar),1
Daniel,jest grau 2 (já ouviu falar),1
Daniel,ec2 grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Eduardo,mongodb grau 2 (já ouviu falar),1
Eduardo,express grau 2 (já ouviu falar),1
Eduardo,react grau 2 (já ouviu falar),1
Eduardo,rn grau 2 (já ouviu falar),1
Eduardo,nest grau 2 (já ouviu falar),1
Eduardo,prisma grau 1 (não possui conhecimento),1
Eduardo,dart grau 2 (já ouviu falar),1
Eduardo,cypress grau 1 (não possui conhecimento),1
Eduardo,jest grau 1 (não possui conhecimento),1
Eduardo,ec2 grau 3 (possui conhecimento básico),1
Gustavo,mongodb grau 2 (já ouviu falar),1
Gustavo,express grau 1 (não possui conhecimento),1
Gustavo,react grau 3 (possui conhecimento básico),1
Gustavo,rn grau 2 (já ouviu falar),1
Gustavo,nest grau 1 (não possui conhecimento),1
Gustavo,prisma grau 1 (não possui conhecimento),1
Gustavo,dart grau 1 (não possui conhecimento),1
Gustavo,cypress grau 1 (não possui conhecimento),1
Gustavo,jest grau 1 (não possui conhecimento),1
Gustavo,ec2 grau 2 (já ouviu falar),1
Ana,mongodb grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Ana,express grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Ana,react grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Ana,rn grau 3 (possui conhecimento básico),1
Ana,nest grau 4 (consegue aplicar o conhecimento na prática com autonomia moderada),1
Ana,prisma grau 3 (possui conhecimento básico),1
